onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0915	6.895	G_F	2.0	n/a	n/a	2.0	3.1860000000000004	Gram/Gram_run-01/stereo_2MF57U2.wav	2.0	1	3.9360000000000004
7.9964	7.175	G_F	2.0	n/a	n/a	1.0	4.08	Gram/Gram_run-01/stereo_1MF15U3.wav	1.0	0	4.83
15.1851	6.5070000000000014	G_G	1.0	n/a	n/a	1.0	4.109	Gram/Gram_run-01/stereo_1MF11G2.wav	1.0	1	2.929
21.7065	6.505	G_C	1.0	n/a	n/a	1.0	1.13	Gram/Gram_run-01/CoM09d.wav	1.0	1	1.88
28.2123	6.9479999999999995	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF68U4.wav	n/a	0	n/a
35.1675	5.541	G_P	2.0	n/a	n/a	2.0	4.351	Gram/Gram_run-01/stereo_1MP37U3.wav	2.0	1	3.316
40.7217	5.9479999999999995	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF50G1.wav	n/a	0	n/a
46.6761	6.013	G_F	2.0	n/a	n/a	2.0	3.3139999999999996	Gram/Gram_run-01/stereo_1MF05U1.wav	2.0	1	2.712
52.6972	7.87	G_C	1.0	n/a	n/a	1.0	1.98	Gram/Gram_run-01/CoM01l.wav	1.0	1	2.73
60.5705	6.4979999999999976	G_G	1.0	n/a	n/a	2.0	4.809	Gram/Gram_run-01/stereo_1MF23G4.wav	2.0	0	2.628
67.0753	6.184	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF55U2.wav	n/a	0	n/a
73.264	6.83	G_C	1.0	n/a	n/a	1.0	0.6859999999999999	Gram/Gram_run-01/CoM10l.wav	1.0	1	1.436
80.1023	7.505	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MP96G4.wav	n/a	0	n/a
87.6086	7.1370000000000005	G_G	1.0	n/a	n/a	1.0	5.584	Gram/Gram_run-01/stereo_1MP47G4.wav	1.0	1	3.117
94.74799999999999	6.694	G_F	2.0	n/a	n/a	1.0	3.06	Gram/Gram_run-01/stereo_2MF61U3.wav	1.0	0	3.81
101.4529	5.39	G_C	1.0	n/a	n/a	2.0	2.426	Gram/Gram_run-01/CoM01d.wav	2.0	0	3.176
106.8569	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	5.1370000000000005	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	4.133000000000001
113.4451	5.3389999999999995	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF69U4.wav	n/a	0	n/a
118.7989	7.94	G_C	1.0	2.0	0.23600000000000002	1.0	2.059	Gram/Gram_run-01/CoM08l.wav	2.0	0	0.236
126.7476	6.006	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP26U1.wav	1.0	0	4.448
132.7683	8.422	G_F	2.0	n/a	n/a	1.0	0.418	Gram/Gram_run-01/stereo_1MF06U1.wav	n/a	0	n/a
141.1919	7.885	G_P	2.0	n/a	n/a	2.0	3.655	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	2.7699999999999996
149.082	6.127000000000002	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MP83G2.wav	n/a	0	n/a
155.2198	5.765	G_C	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/CoM02b.wav	n/a	0	n/a
160.9908	6.706	G_P	2.0	n/a	n/a	1.0	4.926	Gram/Gram_run-01/stereo_2MP93U4.wav	1.0	0	2.5260000000000007
167.7098	6.61	G_P	2.0	n/a	n/a	2.0	3.747	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	1.6320000000000006
174.3313	6.63	G_C	1.0	n/a	n/a	1.0	2.824	Gram/Gram_run-01/CoM04b.wav	1.0	1	3.574
180.9695	5.665	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP27U1.wav	2.0	1	2.973
186.6404	7.55	G_G	1.0	2.0	0.06	2.0	5.944	Gram/Gram_run-01/stereo_2MP77G1.wav	2.0	0	3.8449999999999998
194.1961	6.51	G_C	1.0	n/a	n/a	1.0	4.422	Gram/Gram_run-01/CoM03e.wav	1.0	1	5.172
200.7177	6.98	G_P	2.0	n/a	n/a	2.0	5.362	Gram/Gram_run-01/stereo_2MP92U4.wav	2.0	1	3.013
207.7062	7.047999999999999	G_G	1.0	n/a	n/a	1.0	5.022	Gram/Gram_run-01/stereo_1MF12G2.wav	1.0	1	3.9880000000000004
214.7613	5.574	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MF04U1.wav	n/a	0	n/a
220.3488	5.67	G_C	1.0	1.0	0.563	1.0	2.7039999999999997	Gram/Gram_run-01/CoM07d.wav	1.0	1	0.563
226.0205	6.6160000000000005	G_P	2.0	n/a	n/a	1.0	3.265	Gram/Gram_run-01/stereo_1MP39U3.wav	1.0	0	2.261
232.6421	5.695	G_P	2.0	n/a	n/a	2.0	2.444	Gram/Gram_run-01/stereo_2MP82U2.wav	2.0	1	1.5230000000000001
238.3464	6.627000000000002	G_F	2.0	n/a	n/a	1.0	4.703	Gram/Gram_run-01/stereo_1MF13U3.wav	1.0	0	5.453
244.9846	7.145	G_C	1.0	n/a	n/a	1.0	2.9930000000000003	Gram/Gram_run-01/CoM08e.wav	1.0	1	3.7430000000000003
252.1398	6.805	G_G	1.0	n/a	n/a	2.0	4.317	Gram/Gram_run-01/stereo_1MP41G3.wav	2.0	0	3.011
258.9458	7.519	G_P	2.0	n/a	n/a	1.0	5.153	Gram/Gram_run-01/stereo_1MP38U3.wav	1.0	0	3.9139999999999997
